experiment,quartile,gt_range_low,gt_range_high,n_samples,mean_ground_truth,mean_prediction,mean_residual,MAE,RMSE
experiment_001,1,-1e-06,1.1666666269302368,82,0.7743902357249726,1.3182352097568715,0.543844974031899,0.6205492467142459,0.7021968687045826
experiment_001,2,1.1666666269302368,2.1666667461395264,76,1.756578969328027,2.0075803493198596,0.25100137999183253,0.4573865344649867,0.5551536199109021
experiment_001,3,2.1666667461395264,3.0,77,2.705627679824829,2.848379116553765,0.14275143672893578,0.4010240412377692,0.45272419587922835
experiment_001,4,3.0,4.0,65,3.5999999963320217,3.310599000637348,-0.289400995694674,0.4297676159785344,0.5418356212086194
experiment_003,1,-1e-06,1.1666666269302368,82,0.7743902357249726,0.8822740385899457,0.10788380286497314,0.31484704750885323,0.3852498049131265
experiment_003,2,1.1666666269302368,2.1666667461395264,76,1.756578969328027,1.4522809943086223,-0.30429797501940475,0.48484656449995545,0.5843644268828936
experiment_003,3,2.1666667461395264,3.0,77,2.705627679824829,2.2958987424900004,-0.40972893733482857,0.4663205657686506,0.6089458362030647
experiment_003,4,3.0,4.0,65,3.5999999963320217,2.7374953875174888,-0.862504608814533,0.8810637125602135,1.0194959010016515
